origin,colony,dest,origin_dest,time,trt,tank,grate,wkgrate,ylossnorm,hr21,totchl,"survival (1=y,0=dead)",6 bleach/dead score,min,mean,dr90,mmm,dtr,maxdtr,days31,days32,inDHW,nightDHW,CRWDHW,inDHM
MV,MVK,MV,MV_MV,1,cont,4,-0.003,,0.086,0.526,12.04909727,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVL,HV,MV_HV,1,heat,3,0.008,0.01,0.26,0.416,10.08766057,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVL,HV,MV_HV,1,cont,4,0.007,,0.035,0.549,14.32745979,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVL,MV,MV_MV,1,heat,3,0.011,-0.021,0.257,0.416,11.29551291,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVL,MV,MV_MV,1,cont,4,0.009,,0.028,0.518,18.08683429,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVM,HV,MV_HV,1,heat,5,0.037,0.078,0.286,0.438,8.06494773,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVM,HV,MV_HV,1,cont,6,0.011,,0.085,0.574,16.02272898,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVM,MV,MV_MV,1,heat,5,-0.003,0.069,0.386,0.368,8.858954623,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVM,MV,MV_MV,1,cont,6,0.031,,0.086,0.565,23.05031006,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVN,HV,MV_HV,1,heat,5,0.025,0.026,0.195,0.449,8.899454523,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVN,HV,MV_HV,1,cont,6,-0.01,,0.053,0.526,15.80334168,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
